S.No.,Company Name,Ticker
1,Apple Inc. ,AAPL
2,"Airbnb, Inc. ",ABNB
3,Adobe Inc. ,ADBE
4,"Analog Devices, Inc. ",ADI
5,"Automatic Data Processing, Inc. ",ADP
6,"Autodesk, Inc. ",ADSK
7,"American Electric Power Company, Inc. ",AEP
8,"Applied Materials, Inc. ",AMAT
9,"Advanced Micro Devices, Inc. ",AMD
10,Amgen Inc. ,AMGN
11,"Amazon.com, Inc. ",AMZN
12,"ANSYS, Inc. ",ANSS
13,ASML Holding N.V.,ASML
14,Axon Enterprise,AXON
15,Broadcom Inc. ,AVGO
16,AstraZeneca PLC ,AZN
17,Biogen Inc. ,BIIB
18,Booking Holdings Inc. ,BKNG
19,Baker Hughes Company ,BKR
20,Coca-Cola Europacific Partners plc  ,CCEP
21,"Cadence Design Systems, Inc. ",CDNS
22,CDW Corporation ,CDW
23,Constellation Energy Corporation ,CEG
24,"Charter Communications, Inc. ",CHTR
25,Comcast Corporation Class A ,CMCSA
26,Costco Wholesale Corporation ,COST
27,"Copart, Inc.  ",CPRT
28,"CrowdStrike Holdings, Inc.  ",CRWD
29,"Cisco Systems, Inc.  ",CSCO
30,"CoStar Group, Inc. ",CSGP
31,CSX Corporation ,CSX
32,Cintas Corporation ,CTAS
33,Cognizant Technology Solutions Corporation  ,CTSH
34,"DoorDash, Inc. ",DASH
35,"Datadog, Inc.",DDOG
36,Dollar Tree Inc. ,DLTR
37,"DexCom, Inc. ",DXCM
38,Electronic Arts Inc. ,EA
39,Exelon Corporation ,EXC
40,"Diamondback Energy, Inc. ",FANG
41,Fastenal Company ,FAST
42,"Fortinet, Inc. ",FTNT
43,GE HealthCare Technologies Inc. ,GEHC
44,GlobalFoundries Inc. Ordinary Shares,GFS
45,"Gilead Sciences, Inc. ",GILD
46,Alphabet Inc. Class C  ,GOOG
47,Alphabet Inc. Class A ,GOOGL
48,Honeywell International Inc. ,HON
49,"IDEXX Laboratories, Inc. ",IDXX
50,Intel Corporation ,INTC
51,Intuit Inc. ,INTU
52,"Intuitive Surgical, Inc. ",ISRG
53,Keurig Dr Pepper Inc. ,KDP
54,The Kraft Heinz Company ,KHC
55,KLA Corporation ,KLAC
56,Lam Research Corporation ,LRCX
57,lululemon athletica inc. ,LULU
58,Marriott International ,MAR
59,Microchip Technology Incorporated ,MCHP
60,MicroStrategy,MSTR
61,"MongoDB, Inc. ",MDB
62,"Mondelez International, Inc. ",MDLZ
63,"MercadoLibre, Inc. ",MELI
64,"Meta Platforms, Inc. ",META
65,Monster Beverage Corporation,MNST
66,"Marvell Technology, Inc. ",MRVL
67,Microsoft Corporation ,MSFT
68,"Micron Technology, Inc. ",MU
69,"Netflix, Inc. ",NFLX
70,NVIDIA Corporation ,NVDA
71,NXP Semiconductors N.V. ,NXPI
72,"Old Dominion Freight Line, Inc. ",ODFL
73,ON Semiconductor Corporation ,ON
74,"O'Reilly Automotive, Inc. ",ORLY
75,Palantir Technologies,PLTR
76,"Palo Alto Networks, Inc. ",PANW
77,"Paychex, Inc. ",PAYX
78,PACCAR Inc. ,PCAR
79,PDD Holdings Inc. ,PDD
80,"PepsiCo, Inc. ",PEP
81,"PayPal Holdings, Inc. ",PYPL
82,QUALCOMM Incorporated ,QCOM
83,"Regeneron Pharmaceuticals, Inc. ",REGN
84,"Roper Technologies, Inc. ",ROP
85,"Ross Stores, Inc. ",ROST
86,Starbucks Corporation ,SBUX
87,Sirius XM Holdings Inc. ,SIRI
88,"Synopsys, Inc. ",SNPS
89,Splunk Inc. ,SPLK
90,Atlassian Corporation ,TEAM
91,"T-Mobile US, Inc. ",TMUS
92,"Tesla, Inc. ",TSLA
93,"The Trade Desk, Inc. ",TTD
94,"Take-Two Interactive Software, Inc. ",TTWO
95,Texas Instruments Incorporated ,TXN
96,"Verisk Analytics, Inc. ",VRSK
97,Vertex Pharmaceuticals Incorporated ,VRTX
98,"Warner Bros. Discovery, Inc. ",WBD
99,"Workday, Inc. ",WDAY
100,Xcel Energy Inc. ,XEL
101,"Zscaler, Inc. ",ZS
